Created on 04-08-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-03 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 04-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 03-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 02-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 01-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 12-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 11-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 10-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 09-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 08-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 04-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 03-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 02-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 01-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-02 12-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 11-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 10-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 09-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 08-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-01 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
